!Name RA(hh:mm:ss.xxxxx) Dec(dd:mm:ss.xxxxxx) PM_RA(mas/yr) PM_Dec(mas/yr) PM_Epoch
!Positions must be J2000
!Proper motion in the RA direction is in mas/yr, ie delta RA * cos(dec)
0111-1317 01:11:56.857962 -13:17:01.19702 0.0 0.0 2000.0
0439-4522 04:39:00.854714 -45:22:22.56260 0.0 0.0 2000.0
0628-2805 06:28:43.279032 -28:05:19.38364 0.0 0.0 2000.0
0736-303 07:38:19.7878481 -30:25:04.83600 0.0 0.0 2000.0	
!1515-5559 15:15:12.652000 -55:59:32.40500 0.0 0.0 2000.0
1604-4441 16:04:31.020692 -44:41:31.97421 0.0 0.0 2000.0
2047-1639 20:47:19.667018 -16:39:05.84249 0.0 0.0 2000.0
2142-0437 21:42:36.901688 -04:37:43.51275 0.0 0.0 2000.0
2141-3729 21:41:52.448964 -37:29:12.99259 0.0 0.0 2000.0

