!Name x(m) y(m) z(m) dx/dt(m/yr) dy/dt(m/yr) dz/dt(m/yr) pos_epoch axis_type offset(m)
PKS -4554231.994 2816758.952 -3454035.845 -0.03463 -0.00307 0.04704 1997.0 3 0.0
HOB -3950236.737 2522347.560 -4311562.539 -0.03947 0.00851 0.03950 1997.0 4 8.19
DSS43 -4460894.676 2682361.533 -3674748.350 -0.03741 0.00080 0.04376 1997.0 3 0.0
MOPRA -4682768.630 2802619.060 -3291759.900 -0.036 0.000 0.045 1998.25 3 0.0
CED -3753443.000 3912710.350 -3348068.600 -0.036 0.000 0.045 1998.25 3 0.0
CATW0 -4752447.299 2790328.78 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW2 -4752431.762 2790355.156 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW4 -4752416.225 2790381.533 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW6 -4752400.688 2790407.909 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW8 -4752385.151 2790434.285 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW10 -4752369.614 2790460.662 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW12 -4752354.077 2790487.038 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW14 -4752338.54 2790513.415 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW16 -4752323.003 2790539.791 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW32 -4752198.708 2790750.802 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW45 -4752097.717 2790922.248 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW64 -4751950.116 2791172.823 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW84 -4751794.747 2791436.587 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW98 -4751685.988 2791621.222 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW100 -4751670.451 2791647.598 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW102 -4751654.914 2791673.974 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW104 -4751639.377 2791700.351 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW106 -4751623.84 2791726.727 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW109 -4751600.535 2791766.291 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW110 -4751592.766 2791779.48 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW111 -4751584.998 2791792.668 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW112 -4751577.229 2791805.856 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW113 -4751569.461 2791819.044 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW124 -4751484.008 2791964.114 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW125 -4751476.239 2791977.302 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW128 -4751452.934 2792016.867 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW129 -4751445.165 2792030.055 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW140 -4751359.712 2792175.125 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW147 -4751305.332 2792267.442 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW148 -4751297.564 2792280.63 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW163 -4751181.037 2792478.453 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW168 -4751142.194 2792544.394 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW172 -4751111.121 2792597.147 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW173 -4751103.352 2792610.335 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW182 -4751033.436 2792729.028 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW189 -4750979.056 2792821.346 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW190 -4750971.288 2792834.534 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW195 -4750932.445 2792900.475 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW196 -4750924.677 2792913.663 -3200491.7 -0.036 0.000 0.045 1998.25 3 0.0
CATW392 -4749402.038 2795498.531 -3200491.647 -0.036 0.000 0.045 1998.25 3 0.0
CATN2 -4751637.131 2791734.556 -3200465.258 -0.036 0.000 0.045 1998.25 3 0.0
CATN5 -4751657.066 2791746.299 -3200425.595 -0.036 0.000 0.045 1998.25 3 0.0
CATN7 -4751670.357 2791754.128 -3200399.153 -0.036 0.000 0.045 1998.25 3 0.0
CATN11 -4751696.938 2791769.785 -3200346.269 -0.036 0.000 0.045 1998.25 3 0.0
CATN14 -4751716.874 2791781.528 -3200306.606 -0.036 0.000 0.045 1998.25 3 0.0
