    
    VYCMA      07:22:59.20    -25:46:06.8     J2000

    MON-R2     06:07:50.30   -06:22:47.0     J2000
    0000+000        00:00:00.0000    00:00:00.000       2000.0
    0006-0623       00:06:13.8928   -06:23:35.334       2000.0 
    0023-263        00:25:49.17      -26:02:12.7 
    NGC253          00:47:32.991    -25:17:16.12
    0048-097        00:50:41.322    -09:29:05.32 
    0106+013        01:08:38.7711   +01:35:00.317       2000.0  !NEOS_9609
    0119+041        01:21:56.871     04:22:24.60 
    0153-663        01:54:31.38     -66:04:16.3 
    0201+113        02:03:46.664     11:34:45.34 
    0208-512        02:10:46.2005   -51:01:01.896
    0219-0258       02:19:20.72     -02:58:36.8         2000.0
    0235+164        02:38:38.930     16:36:59.14 
    0236-856        02:30:39.420    -85:28:19.60 
    0244-470        02:45:59.710    -46:51:26.50 
    0256+075        02:59:27.0766   +07:47:39.643       2000.0  !NEOS_9609
    0336-019        03:39:30.945    -01:46:35.92
    0336-3559       03:36:46.22     -35:59:57.3         2000.0
    0335-364        03:36:54.0235   -36:16:06.224       2000.0
    0344-345        03:46:30.58     -34:22:46.3         2000.0
    0341-256        03:43:19.400    -25:30:17.00 
    0405-385        04:06:59.03508  -38:26:28.0410	2000.0
    0413-210        04:16:04.36     -20:56:27.7 
    0414-189        04:16:36.555    -18:51:08.44
    0420-014        04:23:15.8007   -01:20:33.065       2000.0  !NEOS_9609
    0422-380        04:24:42.2436   -37:56:20.784
    0422-389        04:24:33.669    -38:48:40.96  
    0426-380        04:28:40.4245   -37:56:19.579
    0434-188        04:37:01.490    -18:44:48.66
    0435-283        04:37:48.337    -28:13:43.00
    0438-436        04:40:17.1799   -43:33:08.603	2000.0
    0439-299        04:41:19.479    -29:52:35.51
    0440-003        04:42:38.6608   -00:17:43.419       2000.0  !NEOS_9609
    0451-282        04:53:14.662    -28:07:37.00
    0454-234        04:57:03.193    -23:24:52.11
    0528-250        05:30:07.974    -25:03:29.96
    ORION_A         05:35:16.44     -05:23:21.82
    0537-286        05:39:54.283    -28:39:55.81
    0537-441        05:38:50.36176  -44:05:08.9381	2000.0
    NGC2071         05:47:04.155     00:21:42.15 
    MONR2           06:07:46.274    -06:23:08.61
    0637-752        06:35:46.50817  -75:16:16.8157
    0715-663        07:15:15.256    -66:28:06.95  
    0718-633        07:19:07.711    -63:26:46.28
    0722-333        07:23:53.085    -33:28:40.89
    0725-444        07:26:57.548    -44:35:19.079
    0726-476        07:28:23.513    -47:45:17.040
    0727-115        07:30:19.116    -11:41:12.51
    0728-320        07:30:38.309    -32:08:21.27
    0736-303        07:38:19.792    -30:25:05.00        2000.0
    0736-332        07:38:16.9491   -33:22:12.777       2000.0
    0737-302        07:37:11.7      -30:26:00.0         2000.0
    0737-3039       07:37:51.247    -30:39:40.74        2000.0 
    0742+103        07:45:33.065     10:11:12.74 
